id,name,content_type,codename
1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
4,Can view log entry,1,view_logentry
9,Can add group,3,add_group
10,Can change group,3,change_group
11,Can delete group,3,delete_group
12,Can view group,3,view_group
5,Can add permission,2,add_permission
6,Can change permission,2,change_permission
7,Can delete permission,2,delete_permission
8,Can view permission,2,view_permission
13,Can add user,4,add_user
14,Can change user,4,change_user
15,Can delete user,4,delete_user
16,Can view user,4,view_user
17,Can add content type,5,add_contenttype
18,Can change content type,5,change_contenttype
19,Can delete content type,5,delete_contenttype
20,Can view content type,5,view_contenttype
25,Can add Контакт,7,add_contact
26,Can change Контакт,7,change_contact
27,Can delete Контакт,7,delete_contact
28,Can view Контакт,7,view_contact
37,Can add currency,10,add_currency
38,Can change currency,10,change_currency
39,Can delete currency,10,delete_currency
40,Can view currency,10,view_currency
41,Can add year,11,add_year
42,Can change year,11,change_year
43,Can delete year,11,delete_year
44,Can view year,11,view_year
29,Can add Site configuration,8,add_site
30,Can change Site configuration,8,change_site
31,Can delete Site configuration,8,delete_site
32,Can view Site configuration,8,view_site
33,Can add Телефони,9,add_sitephone
34,Can change Телефони,9,change_sitephone
35,Can delete Телефони,9,delete_sitephone
36,Can view Телефони,9,view_sitephone
21,Can add session,6,add_session
22,Can change session,6,change_session
23,Can delete session,6,delete_session
24,Can view session,6,view_session
